master_id,canonical_key,duplicate_count,duplicate_rank,preferred_record,source_key,source_name,record_id,doi,title,published,year,url,resource_type,output_kind,creators,affiliations,relation_scope,theme,review_decision,publish_scope,observatory_use,priority_rank,is_tablero_principal,is_vigilancia,is_auditoria,is_descartado,file_count,total_file_size_mb,license,access_right,source_recommendation,rationale,evidence,fetched_at,curated_at,reviewed_at,built_at
zenodo:18499216,doi:10.5281/zenodo.18499216,1,1,True,zenodo,Zenodo,18499216,10.5281/zenodo.18499216,"Cosmic Ray Neutron Spectroscopy and Local Variables simultaneous measurement studies throughout Chile. Northern Chile Experimental Campaigns: Maricunga, Las Campanas Observatory, San Pedro de Atacama and Chapiquilta",2026-02-05,2026,https://zenodo.org/records/18499216,Dataset,dataset,"Molina, Francisco; López-Usquiano, Franco",Comisión Chilena de Energía Nuclear,cchen_affiliation,nuclear_general_cchen,publicar_recurrente,tablero_principal,output_institucional_repositorio,98974,True,False,False,False,5,5.054,cc-by-4.0,open,Incorporar como output institucional Zenodo; refresco semestral.,El alias CCHEN aparece en afiliacion de creador.,match_scope=creator_affiliation; aliases=Comision Chilena de Energia Nuclear,2026-05-19,2026-05-19,2026-05-19,2026-05-19T21:02:43
zenodo:19653868,doi:10.5281/zenodo.19653868,1,1,True,zenodo,Zenodo,19653868,10.5281/zenodo.19653868,Plan de Gestión de Datos de Investigación. Avance y actualización de tesis doctoral. Abril 2026,2026-04-19,2026,https://zenodo.org/records/19653868,Presentation,presentacion,"Ruz Fuenzalida, Carlos",Comisión Chilena de Energía Nuclear,cchen_affiliation,nuclear_general_cchen,publicar_recurrente,tablero_principal,output_institucional_repositorio,98974,True,False,False,False,1,0.057,cc-by-4.0,open,Incorporar como output institucional Zenodo; refresco semestral.,El alias CCHEN aparece en afiliacion de creador.,match_scope=creator_affiliation; aliases=Comision Chilena de Energia Nuclear,2026-05-19,2026-05-19,2026-05-19,2026-05-19T21:02:43
zenodo:19653789,doi:10.5281/zenodo.19653789,1,1,True,zenodo,Zenodo,19653789,10.5281/zenodo.19653789,Proceso de avance en investigación doctoral. Abril 2026,2026-04-19,2026,https://zenodo.org/records/19653789,Thesis,tesis,"Ruz Fuenzalida, Carlos",Comisión Chilena de Energía Nuclear,cchen_affiliation,nuclear_general_cchen,publicar_recurrente,tablero_principal,output_institucional_repositorio,98974,True,False,False,False,1,0.425,cc-by-4.0,open,Incorporar como output institucional Zenodo; refresco semestral.,El alias CCHEN aparece en afiliacion de creador.,match_scope=creator_affiliation; aliases=Comision Chilena de Energia Nuclear,2026-05-19,2026-05-19,2026-05-19,2026-05-19T21:02:43
zenodo:17106980,doi:10.5281/zenodo.17106980,1,1,True,zenodo,Zenodo,17106980,10.5281/zenodo.17106980,"Input Files for ""Extending OpenMC Validation to Spent Fuel Canisters: A Criticality Benchmark Against MCNP""",2025-09-12,2025,https://zenodo.org/records/17106980,Dataset,dataset,"Javier, Ruiz-Pineda; Romero-Barrientos, Jaime",Comisión Chilena de Energía Nuclear,cchen_affiliation,nuclear_general_cchen,publicar_recurrente,tablero_principal,output_institucional_repositorio,98975,True,False,False,False,6,0.267,cc-by-4.0,open,Incorporar como output institucional Zenodo; refresco semestral.,El alias CCHEN aparece en afiliacion de creador.,match_scope=creator_affiliation; aliases=Comision Chilena de Energia Nuclear,2026-05-19,2026-05-19,2026-05-19,2026-05-19T21:02:43
zenodo:14229977,doi:10.5281/zenodo.14229977,1,1,True,zenodo,Zenodo,14229977,10.5281/zenodo.14229977,"Dataset for ""Extended scenarios for solar radio emissions with downshifted electron beam plasma excitations""",2024-11-27,2024,https://zenodo.org/records/14229977,Dataset,dataset,"López, Rodrigo A.",Comisión Chilena de Energía Nuclear,cchen_affiliation,nuclear_general_cchen,publicar_recurrente,tablero_principal,output_institucional_repositorio,98976,True,False,False,False,3,0.007,cc-by-4.0,open,Incorporar como output institucional Zenodo; refresco semestral.,El alias CCHEN aparece en afiliacion de creador.,match_scope=creator_affiliation; aliases=Comision Chilena de Energia Nuclear,2026-05-19,2026-05-19,2026-05-19,2026-05-19T21:02:43
doaj:10.3847/1538-4357/ae27a3,doi:10.3847/1538-4357/ae27a3,1,1,True,doaj,DOAJ,10.3847/1538-4357/ae27a3,10.3847/1538-4357/ae27a3,Alpha Core–Beam Origin in Low-β Solar Wind Plasma: Insights from Fully Kinetic Simulations,2026,2026,https://doi.org/10.3847/1538-4357/ae27a3,Repository record,publicacion_repositorio,,,revisar,fisica_plasma_espacial,publicar_recurrente,tablero_principal,produccion_cientifica_cchen,99974,True,False,False,False,,,,,Mantener DOAJ como fuente recurrente secundaria semestral para cobertura open access y verificacion cruzada.,"Registro con alias CCHEN visible y tema util para produccion cientifica, capacidades o historia institucional.",initial_theme=cchen_sin_tema_prioritario; initial_decision=revisar,,,2026-05-19,2026-05-19T21:02:43
doaj:10.1088/2053-1591/ae5f5f,doi:10.1088/2053-1591/ae5f5f,1,1,True,doaj,DOAJ,10.1088/2053-1591/ae5f5f,10.1088/2053-1591/ae5f5f,Rapid synthesis and performance analysis of La0.8Sr0.2MnO3 cathodes and La0.85Sr0.15Ga0.85Mg0.15O3 electrolytes for IT-SOFCs,2026,2026,https://doi.org/10.1088/2053-1591/ae5f5f,Repository record,publicacion_repositorio,,,revisar,materiales_energia_tierras_raras,publicar_recurrente,tablero_principal,produccion_cientifica_cchen,99974,True,False,False,False,,,,,Mantener DOAJ como fuente recurrente secundaria semestral para cobertura open access y verificacion cruzada.,"Registro con alias CCHEN visible y tema util para produccion cientifica, capacidades o historia institucional.",initial_theme=cchen_sin_tema_prioritario; initial_decision=revisar,,,2026-05-19,2026-05-19T21:02:43
doaj:10.3847/1538-4357/ae09ac,doi:10.3847/1538-4357/ae09ac,1,1,True,doaj,DOAJ,10.3847/1538-4357/ae09ac,10.3847/1538-4357/ae09ac,Cumulative Proton Right-handed Instabilities in the Young Solar Wind Observed by PSP,2025,2025,https://doi.org/10.3847/1538-4357/ae09ac,Repository record,publicacion_repositorio,,,revisar,fisica_plasma_espacial,publicar_recurrente,tablero_principal,produccion_cientifica_cchen,99975,True,False,False,False,,,,,Mantener DOAJ como fuente recurrente secundaria semestral para cobertura open access y verificacion cruzada.,"Registro con alias CCHEN visible y tema util para produccion cientifica, capacidades o historia institucional.",initial_theme=cchen_sin_tema_prioritario; initial_decision=revisar,,,2026-05-19,2026-05-19T21:02:43
doaj:10.1016/j.rinp.2025.108257,doi:10.1016/j.rinp.2025.108257,1,1,True,doaj,DOAJ,10.1016/j.rinp.2025.108257,10.1016/j.rinp.2025.108257,Fragile systems: A hidden-variable Bayesian framework leading to quantum theory,2025,2025,http://www.sciencedirect.com/science/article/pii/S2211379725001512,Repository record,publicacion_repositorio,,,revisar,produccion_cchen_baja_prioridad,publicar_recurrente,tablero_principal,produccion_cientifica_cchen,99975,True,False,False,False,,,,,Mantener DOAJ como fuente recurrente secundaria semestral para cobertura open access y verificacion cruzada.,"Registro con alias CCHEN visible y tema util para produccion cientifica, capacidades o historia institucional.",initial_theme=cchen_sin_tema_prioritario; initial_decision=revisar,,,2026-05-19,2026-05-19T21:02:43
doaj:10.3847/1538-4357/ade0c0,doi:10.3847/1538-4357/ade0c0,1,1,True,doaj,DOAJ,10.3847/1538-4357/ade0c0,10.3847/1538-4357/ade0c0,Heat-flux Instabilities of Regularized Kappa Distributed Strahl Electrons Resolved with ALPS,2025,2025,https://doi.org/10.3847/1538-4357/ade0c0,Repository record,publicacion_repositorio,,,revisar,fisica_plasma_espacial,publicar_recurrente,tablero_principal,produccion_cientifica_cchen,99975,True,False,False,False,,,,,Mantener DOAJ como fuente recurrente secundaria semestral para cobertura open access y verificacion cruzada.,"Registro con alias CCHEN visible y tema util para produccion cientifica, capacidades o historia institucional.",initial_theme=cchen_sin_tema_prioritario; initial_decision=revisar,,,2026-05-19,2026-05-19T21:02:43
doaj:10.3389/fmicb.2025.1575677,doi:10.3389/fmicb.2025.1575677,1,1,True,doaj,DOAJ,10.3389/fmicb.2025.1575677,10.3389/fmicb.2025.1575677,Lanthanide bioadsorption by the extremophile Exiguobacterium sp.: utilizing microbial extracellular polysaccharides for high-value element recovery,2025,2025,https://www.frontiersin.org/articles/10.3389/fmicb.2025.1575677/full,Repository record,publicacion_repositorio,,,revisar,materiales_energia_tierras_raras,publicar_recurrente,tablero_principal,produccion_cientifica_cchen,99975,True,False,False,False,,,,,Mantener DOAJ como fuente recurrente secundaria semestral para cobertura open access y verificacion cruzada.,"Registro con alias CCHEN visible y tema util para produccion cientifica, capacidades o historia institucional.",initial_theme=cchen_sin_tema_prioritario; initial_decision=revisar,,,2026-05-19,2026-05-19T21:02:43
doaj:10.3390/mi15091123,doi:10.3390/mi15091123,1,1,True,doaj,DOAJ,10.3390/mi15091123,10.3390/mi15091123,Development of a Miniaturized 2-Joule Pulsed Plasma Source Based on Plasma Focus Technology: Applications in Extreme Condition Materials and Nanosatellite Orientation,2024,2024,https://www.mdpi.com/2072-666X/15/9/1123,Repository record,publicacion_repositorio,,,mantener,nuclear_plasma_reactores,publicar_recurrente,tablero_principal,observatorio_nuclear_general,99976,True,False,False,False,,,,,Mantener DOAJ como fuente recurrente secundaria semestral para cobertura open access y verificacion cruzada.,"Registro con alias CCHEN visible y tema util para produccion cientifica, capacidades o historia institucional.",initial_theme=nuclear_cchen_no_radiofarmacia; initial_decision=mantener,,,2026-05-19,2026-05-19T21:02:43
doaj:10.3847/1538-4357/ad7465,doi:10.3847/1538-4357/ad7465,1,1,True,doaj,DOAJ,10.3847/1538-4357/ad7465,10.3847/1538-4357/ad7465,Fully Kinetic Simulations of Proton-beam-driven Instabilities from Parker Solar Probe Observations,2024,2024,https://doi.org/10.3847/1538-4357/ad7465,Repository record,publicacion_repositorio,,,revisar,fisica_plasma_espacial,publicar_recurrente,tablero_principal,produccion_cientifica_cchen,99976,True,False,False,False,,,,,Mantener DOAJ como fuente recurrente secundaria semestral para cobertura open access y verificacion cruzada.,"Registro con alias CCHEN visible y tema util para produccion cientifica, capacidades o historia institucional.",initial_theme=cchen_sin_tema_prioritario; initial_decision=revisar,,,2026-05-19,2026-05-19T21:02:43
doaj:10.3847/1538-4357/ad500d,doi:10.3847/1538-4357/ad500d,1,1,True,doaj,DOAJ,10.3847/1538-4357/ad500d,10.3847/1538-4357/ad500d,Magnetic Spectra Comparison for Kappa-distributed Whistler Electron Fluctuations,2024,2024,https://doi.org/10.3847/1538-4357/ad500d,Repository record,publicacion_repositorio,,,revisar,fisica_plasma_espacial,publicar_recurrente,tablero_principal,produccion_cientifica_cchen,99976,True,False,False,False,,,,,Mantener DOAJ como fuente recurrente secundaria semestral para cobertura open access y verificacion cruzada.,"Registro con alias CCHEN visible y tema util para produccion cientifica, capacidades o historia institucional.",initial_theme=cchen_sin_tema_prioritario; initial_decision=revisar,,,2026-05-19,2026-05-19T21:02:43
doaj:10.1051/epjconf/202430212001,doi:10.1051/epjconf/202430212001,1,1,True,doaj,DOAJ,10.1051/epjconf/202430212001,10.1051/epjconf/202430212001,OpenMC(TD): Current status and next development stages,2024,2024,https://www.epj-conferences.org/articles/epjconf/pdf/2024/12/epjconf_snamc2024_12001.pdf,Repository record,publicacion_repositorio,,,mantener,nuclear_plasma_reactores,publicar_recurrente,tablero_principal,observatorio_nuclear_general,99976,True,False,False,False,,,,,Mantener DOAJ como fuente recurrente secundaria semestral para cobertura open access y verificacion cruzada.,"Registro con alias CCHEN visible y tema util para produccion cientifica, capacidades o historia institucional.",initial_theme=nuclear_cchen_no_radiofarmacia; initial_decision=mantener,,,2026-05-19,2026-05-19T21:02:43
doaj:10.1051/epjconf/202328402005,doi:10.1051/epjconf/202328402005,1,1,True,doaj,DOAJ,10.1051/epjconf/202328402005,10.1051/epjconf/202328402005,Study of decay properties of Ba to Nd nuclei (A~160) relevant to the formation of the r-process rare-earth peak,2023,2023,https://www.epj-conferences.org/articles/epjconf/pdf/2023/10/epjconf_nd2023_02005.pdf,Repository record,publicacion_repositorio,,,revisar,nuclear_plasma_reactores,publicar_recurrente,tablero_principal,observatorio_nuclear_general,99977,True,False,False,False,,,,,Mantener DOAJ como fuente recurrente secundaria semestral para cobertura open access y verificacion cruzada.,"Registro con alias CCHEN visible y tema util para produccion cientifica, capacidades o historia institucional.",initial_theme=cchen_sin_tema_prioritario; initial_decision=revisar,,,2026-05-19,2026-05-19T21:02:43
doaj:10.1063/5.0030158,doi:10.1063/5.0030158,1,1,True,doaj,DOAJ,10.1063/5.0030158,10.1063/5.0030158,A model for defect formation in materials exposed to radiation,2021,2021,http://dx.doi.org/10.1063/5.0030158,Repository record,publicacion_repositorio,,,mantener,radioproteccion_dosimetria_radiacion,publicar_recurrente,tablero_principal,observatorio_nuclear_general,99979,True,False,False,False,,,,,Mantener DOAJ como fuente recurrente secundaria semestral para cobertura open access y verificacion cruzada.,"Registro con alias CCHEN visible y tema util para produccion cientifica, capacidades o historia institucional.",initial_theme=nuclear_cchen_no_radiofarmacia; initial_decision=mantener,,,2026-05-19,2026-05-19T21:02:43
doaj:10.48162/rev.39.037,doi:10.48162/rev.39.037,1,1,True,doaj,DOAJ,10.48162/rev.39.037,10.48162/rev.39.037,Germination and development of M1 seedlings of two Selliera radicans Cav. accessions subjected to gamma radiation,2021,2021,https://revistas.uncu.edu.ar/ojs/index.php/RFCA/article/view/4217,Repository record,publicacion_repositorio,,,mantener,radioproteccion_dosimetria_radiacion,publicar_recurrente,tablero_principal,observatorio_nuclear_general,99979,True,False,False,False,,,,,Mantener DOAJ como fuente recurrente secundaria semestral para cobertura open access y verificacion cruzada.,"Registro con alias CCHEN visible y tema util para produccion cientifica, capacidades o historia institucional.",initial_theme=nuclear_cchen_no_radiofarmacia; initial_decision=mantener,,,2026-05-19,2026-05-19T21:02:43
doaj:10.3390/plasma4030033,doi:10.3390/plasma4030033,1,1,True,doaj,DOAJ,10.3390/plasma4030033,10.3390/plasma4030033,Update on the Scientific Status of the Plasma Focus,2021,2021,https://www.mdpi.com/2571-6182/4/3/33,Repository record,publicacion_repositorio,,,mantener,nuclear_plasma_reactores,publicar_recurrente,tablero_principal,observatorio_nuclear_general,99979,True,False,False,False,,,,,Mantener DOAJ como fuente recurrente secundaria semestral para cobertura open access y verificacion cruzada.,"Registro con alias CCHEN visible y tema util para produccion cientifica, capacidades o historia institucional.",initial_theme=nuclear_cchen_no_radiofarmacia; initial_decision=mantener,,,2026-05-19,2026-05-19T21:02:43
doaj:10.1016/j.physletb.2019.06.014,doi:10.1016/j.physletb.2019.06.014,1,1,True,doaj,DOAJ,10.1016/j.physletb.2019.06.014,10.1016/j.physletb.2019.06.014,Discovery of 68Br in secondary reactions of radioactive beams,2019,2019,http://www.sciencedirect.com/science/article/pii/S0370269319303922,Repository record,publicacion_repositorio,,,revisar,nuclear_plasma_reactores,publicar_recurrente,tablero_principal,observatorio_nuclear_general,99981,True,False,False,False,,,,,Mantener DOAJ como fuente recurrente secundaria semestral para cobertura open access y verificacion cruzada.,"Registro con alias CCHEN visible y tema util para produccion cientifica, capacidades o historia institucional.",initial_theme=cchen_sin_tema_prioritario; initial_decision=revisar,,,2026-05-19,2026-05-19T21:02:43
doaj:10.1063/1.4997877,doi:10.1063/1.4997877,1,1,True,doaj,DOAJ,10.1063/1.4997877,10.1063/1.4997877,Ti film deposition process of a plasma focus: Study by an experimental design,2017,2017,http://dx.doi.org/10.1063/1.4997877,Repository record,publicacion_repositorio,,,mantener,nuclear_plasma_reactores,publicar_recurrente,tablero_principal,observatorio_nuclear_general,99983,True,False,False,False,,,,,Mantener DOAJ como fuente recurrente secundaria semestral para cobertura open access y verificacion cruzada.,"Registro con alias CCHEN visible y tema util para produccion cientifica, capacidades o historia institucional.",initial_theme=nuclear_cchen_no_radiofarmacia; initial_decision=mantener,,,2026-05-19,2026-05-19T21:02:43
doaj:https://anales.fisica.org.ar/index.php/analesafa/article/view/236,url:https://anales.fisica.org.ar/index.php/analesafa/article/view/236,1,1,True,doaj,DOAJ,https://anales.fisica.org.ar/index.php/analesafa/article/view/236,,ESTUDIO DEL COMPORTAMIENTO DEL PLASMA FOCUS MICROSTAR CUANDO SE VARÍAN LAS DIMENSIONES DEL ÁNODO Y DEL AISLANTE,2007,2007,https://anales.fisica.org.ar/index.php/analesafa/article/view/236,Repository record,publicacion_repositorio,,,mantener,nuclear_plasma_reactores,publicar_recurrente,tablero_principal,observatorio_nuclear_general,99993,True,False,False,False,,,,,Mantener DOAJ como fuente recurrente secundaria semestral para cobertura open access y verificacion cruzada.,"Registro con alias CCHEN visible y tema util para produccion cientifica, capacidades o historia institucional.",initial_theme=nuclear_cchen_no_radiofarmacia; initial_decision=mantener,,,2026-05-19,2026-05-19T21:02:43
doaj:10.3989/revmetalm.2006.v42.i5.31,doi:10.3989/revmetalm.2006.v42.i5.31,1,1,True,doaj,DOAJ,10.3989/revmetalm.2006.v42.i5.31,10.3989/revmetalm.2006.v42.i5.31,Estudio estructural de polvos Cu-Cr aleados mecánicamente,2006,2006,http://revistademetalurgia.revistas.csic.es/index.php/revistademetalurgia/article/view/31,Repository record,publicacion_repositorio,,,revisar,materiales_energia_tierras_raras,publicar_recurrente,tablero_principal,produccion_cientifica_cchen,99994,True,False,False,False,,,,,Mantener DOAJ como fuente recurrente secundaria semestral para cobertura open access y verificacion cruzada.,"Registro con alias CCHEN visible y tema util para produccion cientifica, capacidades o historia institucional.",initial_theme=cchen_sin_tema_prioritario; initial_decision=revisar,,,2026-05-19,2026-05-19T21:02:43
